,"Last updated: Sep 5th, 2025 by Nila",,GENERAL INFORMATION,,,,,,,,,DEFENSIVE STATS - SUMMARY,,,,,,,,DEFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,DEFENSIVE STATS - RAW NUMBER,,,,,OFFENSIVE STATS - SUMMARY,,,,,,,,,,,OFFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,OFFENSIVE STATS - RAW NUMBER,,,,,MISCELLANEOUS,
,140,Fallen Bishop Lv.140,,,,Shadow,Demon,Medium,,,,,164.97%,,136.40%,,,,,,164.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Lord of the Dead Lv.140,,,,Shadow,Demon,Large,,,,,131.97%,,136.40%,,,,,,131.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Arc Angeling Lv.140,,,,Holy,Angel,Medium,,,,,164.97%,,136.40%,,,,,,164.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Gioia Lv.140,,,,Wind,Formless,Large,,,,,212.68%,,272.80%,,,,,,212.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,RSX-0806 Lv.140,,,,Neutral,Formless,Medium,,,,,238.66%,,202.00%,,,,,40.670%,198.00%,,,,,,,,929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Nidhoggr's Shadow Lv.140,,,,Shadow,Dragon,Large,,,,,181.21%,,134.00%,,,,,32.710%,148.50%,,,,,,,,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Gloom Under Night Lv.140,,,,Ghost,Formless,Large,,,,,306.00%,,300.00%,,,,,58.500%,247.50%,,,,,,,,"1,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Retribution Lv.140,,,,Shadow,Angel,Medium,,,,,256.50%,,300.00%,,,,,58.500%,198.00%,,,,,,,,"1,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,Dragon Fly Lv.140,,,,Wind,Insect,Small,,,,,106.98%,,204.60%,,,,,,106.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Eclipse Lv.140,,,,Neutral,Brute,Small,,,,,130.18%,,272.80%,,,,,,130.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Mastering Lv.140,,,,Water,Plant,Medium,,,,,130.18%,,272.80%,,,,,,130.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Ghostring Lv.140,,,,Ghost,Demon,Medium,,,,,106.98%,,204.60%,,,,,,106.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Toad Lv.140,,,,Water,Fish,Small,,,,,98.97%,,136.40%,,,,,,98.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,King Dramoh Lv.140,,,,Water,Fish,Large,,,,,82.47%,,136.40%,,,,,,82.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Angeling Lv.140,,,,Holy,Angel,Medium,,,,,98.97%,,136.40%,,,,,,98.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Deviling Lv.140,,,,Shadow,Demon,Medium,,,,,82.47%,,136.40%,,,,,,82.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Dark Priest Lv.140,,,,Undead,Demon,Medium,,,,,212.68%,,272.80%,,,,,,212.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Vagabond Wolf Lv.140,,,,Earth,Brute,Medium,,,,,172.98%,,204.60%,,,,,,172.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Chimera Lv.140,,,,Fire,Brute,Large,,,,,172.98%,,204.60%,,,,,,172.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Mysteltainn Lv.140,,,,Shadow,Formless,Large,,,,,172.98%,,204.60%,,,,,,172.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Ogretooth Lv.140,,,,Shadow,Formless,Large,,,,,212.68%,,306.35%,,,,,,212.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Necromancer Lv.140,,,,Undead,Undead,Medium,,,,,131.97%,,150.75%,,,,,,131.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Coelacanth Lv.140,,,,Water,Fish,Large,,,,,139.98%,,204.60%,,,,,,139.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Naght Sieger Lv.140,,,,Ghost,Demon,Large,,,,,212.68%,,272.80%,,,,,,212.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Observation Lv.140,,,,Neutral,Angel,Medium,,,,,146.68%,,272.80%,,,,,,146.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Skeggiold Lv.140,,,,Holy,Angel,Small,,,,,172.98%,,204.60%,,,,,,172.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Queen Scaraba Lv.140,,,,Earth,Insect,Small,,,,,212.30%,,268.70%,,,,,47.300%,165.00%,,,,,,,,"1,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Faceworm Queen Lv.140,,,,Poison,Insect,Small,,,,,245.30%,,268.70%,,,,,47.300%,198.00%,,,,,,,,"1,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Ktullanux Lv.140,,,,Water,Dragon,Large,,,,,256.50%,,542.27%,,,,,58.500%,198.00%,,,,,,,,"1,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,140,Shelter Lv.140,,,,Holy,Angel,Medium,,,,,251.18%,,258.00%,,,,,53.180%,198.00%,,,,,,,,"1,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,Phreeoni Lv.150,,,,Neutral,Brute,Large,,,,,136.62%,,311.20%,,,,,,136.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Mistress Lv.150,,,,Wind,Insect,Small,,,,,161.98%,,361.00%,,,,,,161.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Eddga Lv.150,,,,Fire,Brute,Large,,,,,136.62%,,311.20%,,,,,,136.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Kraken Lv.150,,,,Water,Fish,Large,,,,,161.98%,,361.00%,,,,,,161.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Maya Lv.150,,,,Earth,Insect,Large,,,,,118.76%,,186.70%,,,,,,118.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Orc Hero Lv.150,,,,Earth,Demi-Human,Large,,,,,110.67%,,261.40%,,,,,,110.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Pharaoh Lv.150,,,,Shadow,Demi-Human,Large,,,,,118.76%,,186.70%,,,,,,118.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Orc Lord Lv.150,,,,Earth,Demi-Human,Large,,,,,110.67%,,261.40%,,,,,,110.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Doppelganger Lv.150,,,,Shadow,Demon,Medium,,,,,214.62%,,311.20%,,,,,,214.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Amon Ra Lv.150,,,,Earth,Demi-Human,Large,,,,,136.62%,,311.20%,,,,,,136.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Morroc Lv.150,,,,Shadow,Demon,Large,,,,,169.17%,,261.40%,,,,,,169.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Time Holder Lv.150,,,,Neutral,Demon,Large,,,,,196.76%,,186.70%,,,,,,196.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Tao Gunka Lv.150,,,,Neutral,Demon,Large,,,,,214.62%,,311.20%,,,,,,214.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Lost Dragon Lv.150,,,,Shadow,Dragon,Large,,,,,214.62%,,311.20%,,,,,,214.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Fallen Bishop Lv.150,,,,Shadow,Demon,Medium,,,,,196.76%,,186.70%,,,,,,196.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Lord of the Dead Lv.150,,,,Shadow,Demon,Large,,,,,169.17%,,261.40%,,,,,,169.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Arc Angeling Lv.150,,,,Holy,Angel,Medium,,,,,196.76%,,186.70%,,,,,,196.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Gioia Lv.150,,,,Wind,Formless,Large,,,,,259.48%,,361.00%,,,,,,259.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,RSX-0806 Lv.150,,,,Neutral,Formless,Medium,,,,,293.16%,,317.00%,,,,,59.170%,234.00%,,,,,,,,"1,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Nidhoggr's Shadow Lv.150,,,,Shadow,Dragon,Large,,,,,228.13%,,266.00%,,,,,52.640%,175.50%,,,,,,,,"1,519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Gloom Under Night Lv.150,,,,Ghost,Formless,Large,,,,,357.57%,,367.00%,,,,,65.070%,292.50%,,,,,,,,"2,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Retribution Lv.150,,,,Shadow,Angel,Medium,,,,,299.07%,,367.00%,,,,,65.070%,234.00%,,,,,,,,"2,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,Dragon Fly Lv.150,,,,Wind,Insect,Small,,,,,136.62%,,311.20%,,,,,,136.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Eclipse Lv.150,,,,Neutral,Brute,Small,,,,,161.98%,,361.00%,,,,,,161.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Mastering Lv.150,,,,Water,Plant,Medium,,,,,161.98%,,361.00%,,,,,,161.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Ghostring Lv.150,,,,Ghost,Demon,Medium,,,,,136.62%,,311.20%,,,,,,136.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Toad Lv.150,,,,Water,Fish,Small,,,,,118.76%,,186.70%,,,,,,118.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,King Dramoh Lv.150,,,,Water,Fish,Large,,,,,110.67%,,261.40%,,,,,,110.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Angeling Lv.150,,,,Holy,Angel,Medium,,,,,118.76%,,186.70%,,,,,,118.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Deviling Lv.150,,,,Shadow,Demon,Medium,,,,,110.67%,,261.40%,,,,,52.160%,58.50%,,,,,,,,"1,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Dark Priest Lv.150,,,,Undead,Demon,Medium,,,,,259.48%,,361.00%,,,,,,259.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Vagabond Wolf Lv.150,,,,Earth,Brute,Medium,,,,,214.62%,,311.20%,,,,,,214.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Chimera Lv.150,,,,Fire,Brute,Large,,,,,214.62%,,311.20%,,,,,,214.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Mysteltainn Lv.150,,,,Shadow,Formless,Large,,,,,214.62%,,311.20%,,,,,,214.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Ogretooth Lv.150,,,,Shadow,Formless,Large,,,,,259.48%,,385.89%,,,,,,259.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Necromancer Lv.150,,,,Undead,Undead,Medium,,,,,169.17%,,272.00%,,,,,,169.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Coelacanth Lv.150,,,,Water,Fish,Large,,,,,175.62%,,311.20%,,,,,,175.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Naght Sieger Lv.150,,,,Ghost,Demon,Large,,,,,259.48%,,361.00%,,,,,,259.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Observation Lv.150,,,,Neutral,Angel,Medium,,,,,181.48%,,361.00%,,,,,,181.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Skeggiold Lv.150,,,,Holy,Angel,Small,,,,,214.62%,,311.20%,,,,,,214.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Queen Scaraba Lv.150,,,,Earth,Insect,Small,,,,,258.55%,,351.40%,,,,,63.550%,195.00%,,,,,,,,"2,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Faceworm Queen Lv.150,,,,Poison,Insect,Small,,,,,297.55%,,351.40%,,,,,63.550%,234.00%,,,,,,,,"2,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Ktullanux Lv.150,,,,Water,Dragon,Large,,,,,299.07%,,575.77%,,,,,65.070%,234.00%,,,,,,,,"2,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,150,Shelter Lv.150,,,,Holy,Angel,Medium,,,,,293.16%,,317.00%,,,,,59.170%,234.00%,,,,,,,,"1,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOSS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,50,Wooden Dummy (S),0,0,0,Neutral,Undead,Small,,,,"500,000,000,000",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
20000,50,Wooden Dummy (L),0,0,0,Neutral,Undead,Large,,,,"500,000,000,000",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,0,0,0,0,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,0,0,0,0,,,Normal
20020,50,Wooden Dummy (M),0,0,0,Neutral,Undead,Medium,,,,"500,000,000,000",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,0,0,0,0,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,0,0,0,0,,,Normal
10001,1,Poring,32,32,18,Water,Plant,Medium,P.ATK +60,Headgear,,118,1.20%,1.60%,0.00%,0.00%,0.20%,0.20%,,1.200%,0.000%,1.600%,0.000%,0.200%,0.000%,0.200%,0.000%,,6,8,1,1,,14,8,0,0,0.60%,0.80%,0.00%,0.00%,0.20%,0.20%,,0.600%,0.000%,0.800%,0.000%,0.200%,0.000%,0.200%,0.000%,,3,4,1,1,,Prontera South Gate,Normal
10002,2,Fabre,17,17,9,Earth,Insect,Small,ASPD +60,Weapon,,65,1.40%,1.40%,0.00%,0.00%,0.20%,0.20%,,1.400%,0.000%,1.400%,0.000%,0.200%,0.000%,0.200%,0.000%,,7,7,1,1,,5,9,0,0,0.80%,0.60%,0.00%,0.00%,0.20%,0.20%,,0.800%,0.000%,0.600%,0.000%,0.200%,0.000%,0.200%,0.000%,,4,3,1,1,,Prontera South Gate,Normal
10003,3,Pupa,18,18,9,Earth,Insect,Small,Max HP +1200,Cloak,,72,1.60%,1.60%,0.00%,0.00%,0.40%,0.40%,,1.600%,0.000%,1.600%,0.000%,0.400%,0.000%,0.400%,0.000%,,8,8,2,2,,0,0,1,0,0.60%,1.00%,0.00%,0.00%,0.40%,0.40%,,0.600%,0.000%,1.000%,0.000%,0.400%,0.000%,0.400%,0.000%,,3,5,2,2,,Prontera South Gate,Normal
10004,4,Lunatic,19,19,9,Neutral,Brute,Small,M.ATK +60,Headgear,,80,2.00%,1.20%,0.00%,0.00%,0.40%,0.40%,,2.000%,0.000%,1.200%,0.000%,0.400%,0.000%,0.400%,0.000%,,10,6,2,2,,9,6,0,0,0.60%,1.00%,0.00%,0.00%,0.40%,0.40%,,0.600%,0.000%,1.000%,0.000%,0.400%,0.000%,0.400%,0.000%,,3,5,2,2,,Prontera South Gate,Normal
10013,5,Pecopeco Egg,20,20,9,Neutral,Formless,Small,Haste +60,Weapon,,88,1.60%,1.60%,0.00%,0.00%,0.40%,0.40%,,1.600%,0.000%,1.600%,0.000%,0.400%,0.000%,0.400%,0.000%,,8,8,2,2,,0,0,0,0,1.00%,0.60%,0.00%,0.00%,0.40%,0.40%,,1.000%,0.000%,0.600%,0.000%,0.400%,0.000%,0.400%,0.000%,,5,3,2,2,,Morroc,Normal
10011,6,Picky,21,21,9,Fire,Brute,Small,Max HP +1200,Clothes,,96,2.00%,1.40%,0.00%,0.00%,0.40%,0.40%,,2.000%,0.000%,1.400%,0.000%,0.400%,0.000%,0.400%,0.000%,,10,7,2,2,,7,4,1,0,0.60%,1.00%,0.00%,0.00%,0.40%,0.40%,,0.600%,0.000%,1.000%,0.000%,0.400%,0.000%,0.400%,0.000%,,3,5,2,2,,Morroc,Normal
10012,7,Drops,33,55,18,Fire,Plant,Medium,P.PEN +60,Headgear,,211,2.20%,1.40%,0.00%,0.00%,0.40%,0.40%,,2.200%,0.000%,1.400%,0.000%,0.400%,0.000%,0.400%,0.000%,,11,7,2,2,,10,17,0,1,1.00%,0.80%,0.00%,0.00%,0.40%,0.40%,,1.000%,0.000%,0.800%,0.000%,0.400%,0.000%,0.400%,0.000%,,5,4,2,2,,Morroc,Normal
10014,8,Condor,46,46,18,Wind,Brute,Medium,P.DMG RED +30,Cloak,,230,2.20%,1.40%,0.00%,0.00%,0.40%,0.40%,,2.200%,0.000%,1.400%,0.000%,0.400%,0.000%,0.400%,0.000%,,11,7,2,2,,9,15,0,1,1.20%,0.80%,0.00%,0.00%,0.40%,0.40%,,1.200%,0.000%,0.800%,0.000%,0.400%,0.000%,0.400%,0.000%,,6,4,2,2,,Prontera South Gate,Normal
10152,9,Picky (Shell),24,24,9,Fire,Brute,Small,P.DEF +60,Clothes,,126,2.00%,2.00%,0.00%,0.00%,0.40%,0.40%,,2.000%,0.000%,2.000%,0.000%,0.400%,0.000%,0.400%,0.000%,,10,10,2,2,,6,9,0,1,1.20%,0.80%,0.00%,0.00%,0.40%,0.40%,,1.200%,0.000%,0.800%,0.000%,0.400%,0.000%,0.400%,0.000%,,6,4,2,2,,Morroc,Normal
10007,10,Willow,50,50,27,Earth,Plant,Medium,M.PEN +60,Headgear,,273,2.00%,2.00%,0.00%,0.00%,0.40%,0.40%,,2.000%,0.000%,2.000%,0.000%,0.400%,0.000%,0.400%,0.000%,,10,10,2,2,,26,16,1,0,0.80%,1.20%,0.00%,0.00%,0.40%,0.40%,,0.800%,0.000%,1.200%,0.000%,0.400%,0.000%,0.400%,0.000%,,4,6,2,2,,Payon South,Normal
10010,11,Rocker,78,26,27,Earth,Insect,Medium,Max HP +4800,Clothes,,338,2.80%,1.80%,0.00%,0.00%,0.40%,0.40%,,2.800%,0.000%,1.800%,0.000%,0.400%,0.000%,0.400%,0.000%,,14,9,2,2,,35,21,1,0,1.00%,1.40%,0.00%,0.00%,0.40%,0.40%,,1.000%,0.000%,1.400%,0.000%,0.400%,0.000%,0.400%,0.000%,,5,7,2,2,,Prontera West Gate,Normal
10006,12,Chonchon,41,14,13,Wind,Insect,Small,Max HP +1200,Shoes,,204,2.60%,2.60%,0.00%,0.00%,0.60%,0.60%,,2.600%,0.000%,2.600%,0.000%,0.600%,0.000%,0.600%,0.000%,,13,13,3,3,,10,16,0,1,1.60%,1.00%,0.00%,0.00%,0.60%,0.60%,,1.600%,0.000%,1.000%,0.000%,0.600%,0.000%,0.600%,0.000%,,8,5,3,3,,Morroc,Normal
10005,13,Thief Bug Egg,28,28,13,Shadow,Insect,Small,ASPD +60,Accessory,,242,2.40%,3.60%,0.00%,0.00%,0.60%,0.60%,,2.400%,0.000%,3.600%,0.000%,0.600%,0.000%,0.600%,0.000%,,12,18,3,3,,0,0,0,1,1.80%,1.20%,0.00%,0.00%,0.60%,0.60%,,1.800%,0.000%,1.200%,0.000%,0.600%,0.000%,0.600%,0.000%,,9,6,3,3,,Capital Sewer 1F,Normal
10051,14,Mandragora,44,73,27,Earth,Plant,Medium,M.DMG Bonus +60,Headgear,,567,4.00%,2.80%,0.00%,0.00%,0.60%,0.60%,,4.000%,0.000%,2.800%,0.000%,0.600%,0.000%,0.600%,0.000%,,20,14,3,3,,33,55,0,2,2.00%,1.40%,0.00%,0.00%,0.60%,0.60%,,2.000%,0.000%,1.400%,0.000%,0.600%,0.000%,0.600%,0.000%,,10,7,3,3,,Prontera West Gate,Normal
10009,15,Thief Bug,23,38,13,Neutral,Insect,Small,M.DMG RED +30,Cloak,,328,3.80%,3.80%,0.00%,0.00%,0.80%,0.80%,,3.800%,0.000%,3.800%,0.000%,0.800%,0.000%,0.800%,0.000%,,19,19,4,4,,31,18,2,0,1.60%,2.20%,0.00%,0.00%,0.80%,0.80%,,1.600%,0.000%,2.200%,0.000%,0.800%,0.000%,0.800%,0.000%,,8,11,4,4,,Capital Sewer 1F,Normal
10015,16,Savage Bebe,31,31,13,Earth,Brute,Small,"M.ATK +30
M.DMG Bonus +30",Weapon,,375,5.00%,3.20%,0.00%,0.00%,0.80%,0.80%,,5.000%,0.000%,3.200%,0.000%,0.800%,0.000%,0.800%,0.000%,,25,16,4,4,,26,44,0,2,2.40%,1.60%,0.00%,0.00%,0.80%,0.80%,,2.400%,0.000%,1.600%,0.000%,0.800%,0.000%,0.800%,0.000%,,12,8,4,4,,Prontera West Gate,Normal
10044,17,Familiar,32,32,13,Shadow,Brute,Small,"M.ATK +30
M.PEN +30",Weapon,,426,5.20%,3.60%,0.00%,0.00%,0.80%,0.80%,,5.200%,0.000%,3.600%,0.000%,0.800%,0.000%,0.800%,0.000%,,27,18,4,4,,23,39,0,2,2.60%,1.80%,0.00%,0.00%,0.80%,0.80%,,2.600%,0.000%,1.800%,0.000%,0.800%,0.000%,0.800%,0.000%,,13,9,4,4,,Capital Sewer 1F,Normal
10016,18,Baby Desert Wolf,33,33,13,Fire,Brute,Small,"MDEF +30
M.DMG RED +30",Shoes,,481,5.40%,3.80%,0.00%,0.00%,1.00%,1.00%,,5.400%,0.000%,3.800%,0.000%,1.000%,0.000%,1.000%,0.000%,,29,19,5,5,,33,54,0,3,2.80%,2.00%,0.00%,0.00%,1.00%,1.00%,,2.800%,0.000%,2.000%,0.000%,1.000%,0.000%,1.000%,0.000%,,14,10,5,5,,Morroc,Normal
10048,19,Female Thief Bug,68,68,27,Shadow,Insect,Medium,Crit +60,Weapon,,"1,077",5.10%,5.10%,0.00%,0.00%,1.00%,1.00%,,5.100%,0.000%,5.100%,0.000%,1.000%,0.000%,1.000%,0.000%,,26,26,5,5,,56,34,3,0,2.00%,3.00%,0.00%,0.00%,1.00%,1.00%,,2.000%,0.000%,3.000%,0.000%,1.000%,0.000%,1.000%,0.000%,,10,15,5,5,,Capital Sewer 1F,Normal
10052,20,Poporing,70,70,37,Poison,Plant,Medium,M.PEN +60,Accessory,,"1,201",5.80%,4.40%,0.00%,0.00%,1.20%,1.20%,,5.800%,0.000%,4.400%,0.000%,1.200%,0.000%,1.200%,0.000%,,33,22,6,6,,104,63,3,0,2.20%,3.40%,0.00%,0.00%,1.20%,1.20%,,2.200%,0.000%,3.400%,0.000%,1.200%,0.000%,1.200%,0.000%,,11,17,6,6,,Payon South,Normal
10046,21,Plankton,45,27,18,Water,Plant,Small,M.ATK +60,Weapon,,674,4.80%,6.10%,0.00%,0.00%,1.20%,1.20%,,4.800%,0.000%,6.100%,0.000%,1.200%,0.000%,1.200%,0.000%,,24,36,6,6,,62,103,0,3,3.60%,2.40%,0.00%,0.00%,1.20%,1.20%,,3.600%,0.000%,2.400%,0.000%,1.200%,0.000%,1.200%,0.000%,,18,12,6,6,,Capital Sewer 1F,Normal
10027,22,Hornet,37,37,18,Wind,Insect,Small,"P.ATK +30
P.DMG Bonus +30",Weapon,,752,6.30%,5.00%,0.00%,0.00%,1.20%,1.20%,,6.300%,0.000%,5.000%,0.000%,1.200%,0.000%,1.200%,0.000%,,38,25,6,6,,66,40,4,0,2.60%,3.80%,0.00%,0.00%,1.20%,1.20%,,2.600%,0.000%,3.800%,0.000%,1.200%,0.000%,1.200%,0.000%,,13,19,6,6,,Mjolnir Mountains,Normal
10047,23,Tarou,29,48,18,Shadow,Brute,Small,Haste +60,Accessory,,853,6.00%,6.00%,0.00%,0.00%,1.40%,1.40%,,6.000%,0.000%,6.000%,0.000%,1.400%,0.000%,1.400%,0.000%,,35,35,7,7,,101,60,4,0,2.80%,4.20%,0.00%,0.00%,1.40%,1.40%,,2.800%,0.000%,4.200%,0.000%,1.400%,0.000%,1.400%,0.000%,,14,21,7,7,,Capital Sewer 1F,Normal
10028,24,Ambernite,176,59,55,Water,Insect,Large,"P.ATK +30
P.PEN +30",Weapon,,"2,934",5.60%,7.10%,0.00%,0.00%,1.60%,1.60%,,5.600%,0.000%,7.100%,0.000%,1.600%,0.000%,1.600%,0.000%,,31,46,8,8,,243,404,0,5,4.60%,3.00%,0.00%,0.00%,1.60%,1.60%,,4.600%,0.000%,3.000%,0.000%,1.600%,0.000%,1.600%,0.000%,,23,15,8,8,,Mjolnir Mountains,Normal
